experiment,corpus,method,eval_index,question,evaluable,hit_rank,hit_at_1,hit_at_3,hit_at_5,reciprocal_rank,latency_ms,top1_doc_id,top1_article_number,top1_source_type,top1_score,top1_text_preview
Structural + BM25,structural,bm25,99,هل يجوز تعيين العمال بصفة مؤقتة طبقاً للائحة المعينين على بند الأجور؟,True,1.0,True,True,True,1.0,0.65,632,,faq,18.929054949815395,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: هل تسري أحكام لائحة المعينين على بند الأجور الصادرة بقرار مجلس الخدمة المدنية رقم (141) لسنة 1399هـ على العمال غير السعوديين؟ الإجابة: تسري أحكام هذه اللائحة على جميع المعينين على بند الأجور سواء كانوا سعوديين أو غير سعوديين.
Structural + BM25,structural,bm25,100,هل يجب التقيد فقط بالمسميات الواردة في كل مجموعة من الوظائف المحددة بلائحة المعينين على بند الأجور أم أنه يجوز التعيين على جميع الوظائف الحرفية الموضحة بدليل تصنيف الوظائف التي لم تذكر في اللائحة؟,True,1.0,True,True,True,1.0,1.85,630,,faq,47.27724768298162,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: هل يجوز التعيين وفق لائحة المعينين على بند الأجور على مسمى عامل فقط؟ الإجابة: لا يجوز التعيين على مسمى عامل فقط بل لابد من تحديد نوعية العمل الذي هو معين عليه ويزاوله بالفعل والنظر في أي مجموعة يدخل تحتها من ضمن المجم
Structural + BM25,structural,bm25,101,ما المقصود من كون عمال المستشفيات ضمن المساعدين الفنيين ومن هم عمال المستشفيات الذين يندرجون تحت هذه المجموعة؟,True,1.0,True,True,True,1.0,0.94,609,,faq,15.47959963997581,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: ما هو المقصود بنصف صافي راتب الموظف مكفوف اليد ومن في حكمه وفقاً للمادة (19) من نظام الخدمة المدنية؟ الإجابة: المقصود من ذلك هو نصف راتب الموظف الأساسي بعد حسم العائدات التقاعدية لأن الأصل أن يكون حسم هذه العائدات على
Structural + BM25,structural,bm25,102,ما هي الأسس التي يتم الأخذ بها عند الترقية بالمفاضلة للمعينين على لائحة بند الأجور؟,True,1.0,True,True,True,1.0,0.82,627,,faq,22.847717302133688,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: ما مدى جواز منح المستخدم المرقى بالمفاضلة الدرجة الإضافية عند ترقيته؟ الإجابة: يجوز للجهة الإدارية منح المستخدم عند ترقيته بالمفاضلة الدرجة الإضافية التي تمنح للموظف عند الترقية وذلك وفقاً للمادة (18/ب) من نظام الخدمة المدنية والمادة (3) من لائح
Structural + BM25,structural,bm25,103,ما مدى انطباق المزايا المالية التي تصرف للمشاركين في أعمال الحج على العمال المعينين على بند الأجور؟,True,1.0,True,True,True,1.0,0.96,599,,faq,22.70444801266882,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: ما مدى إمكانية تطبيق أحكام التدريب الواردة في اللائحة التنفيذية للموارد البشرية في الخدمة المدنية على المستخدمين والعمال المعينين على بند الأجور في حالة الحاجة إلى إلحاقهم بدورات تدريبية؟ الإجابة: تنص المادة (9) من لا
Structural + BM25,structural,bm25,104,من تمت ترقيته بتاريخ 23/8/1435هـ، وأصبح حالياً على أخر مربوط وانطبقت عليه بقية الشروط فهل يمنح العلاوة بتاريخ 23/8/1435هـ أو عند بداية السنة الجديدة بتاريخ 1/1/1436هـ؟,True,1.0,True,True,True,1.0,1.96,746,,faq,32.64757079926842,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: نصت المادة (141) من اللائحة التنفيذية للموارد البشرية في الخدمة المدنية على أن (تحتسب بداية الأربع سنوات من تاريخ بداية الإجازة المرضية) فهل المقصود بتاريخ بداية الإجازة تاريخ أول إجازة مرضية أم تاريخ كل إجازة؟ الإجاب
Structural + BM25,structural,bm25,105,سائق كلف باستلام سيارة من إحدى المناطق الأخرى وأثناء قيادته للسيارة في طريق عودته حصل عليه حادث تصادم مع سيارة أخرى ونجم عن ذلك وفاته وقد انتهى التحقيق إلى إدانته بنسبة 75% من الخطأ فهل يستحق ورثته التعويض الوارد بالمادة (35) من لائحة الحقوق والمزايا,True,1.0,True,True,True,1.0,2.76,671,,faq,57.97180423619632,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: موظف قدم للرياض للالتحاق بدورة تدريبية وبعد انتهاء الفترة التدريبية عاد إلى مقر عمله الأصلي وفي أثناء الطريق حصل عليه حادث توفي بسببه، هل يستحق ورثته التعويض المنصوص عليه بالمادة (35) من لائحة الحقوق والمزايا المالية؟
Structural + BM25,structural,bm25,106,ما المقصود بالوفد الرسمي الذي يحق لأحد أعضائه الإركاب بالدرجة الأولى ولو كانت مرتبته تقل عن المرتبة العاشرة وذلك وفقاً للمادة (42/ب/2) من لائحة الحقوق والمزايا المالية؟,True,1.0,True,True,True,1.0,1.46,716,,faq,30.264349312140038,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: هل تصرف ثلاثة أضعاف قيمة التذكرة للموظف المنقول وفقاً للمادة (39/أ) من لائحة الحقوق والمزايا المالية على أساس الدرجة المستحقة للموظف أم على أساس الدرجة السياحية مهما كانت مرتبة؟ الإجابة: تقضي هذه المادة بأن يصرف ثلاثة
Structural + BM25,structural,bm25,107,هل تسقط مطالبة الموظف بإعادة المبلغ المصروف له بالمخالفة لأحكام النظام تبعاً لسقوط الدعوى التأديبية المقامة عليه بالتقادم؟,True,1.0,True,True,True,1.0,0.94,650,,faq,14.21733097553024,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: ما مدى استحقاق الموظف لتذاكر الإركاب لحضور الجلسة المقررة من الجهة القضائية للنظر في الدعوى المقامة منه ضد جهة عمله؟ الإجابة: إن تذاكر الإركاب لا تصرف للموظف إلا في القضايا التي يدعى فيها للمثول أمام الجهة القضائية وف
Structural + BM25,structural,bm25,108,ما مدى إمكانية النظر في ترقية موظف انتهت بعثته قبل إقفال محضر الترقيات وباشر العمل بعد إقفال المحضر خلال المدة المنصوص عليها بالمادة (188) من اللائحة التنفيذية للموارد البشرية في الخدمة المدنية؟,True,1.0,True,True,True,1.0,1.69,690,,faq,34.1592212759655,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: موظف أحيل للتحقيق أثناء إجراء المفاضلة لغرض الترقية ثم صدر حكم ديوان المظالم بعدم ادانته بما نسب إليه فهل يمكن النظر في ترقيته؟ الإجابة: بناءً على الفقرة (ج) من المادة (49) من اللائحة التنفيذية للموارد البشرية في الخد
Structural + BM25,structural,bm25,109,ما مدى إمكانية احتساب ساعات التأخر أو الانصراف قبل نهاية الدوام ضمن أيام الانقطاع التي يجوز عند توفرها طي قيد الموظف؟,True,1.0,True,True,True,1.0,1.09,698,,faq,32.057243379307465,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: في حالة غياب الموظف عن العمل وإيقاع عقوبة تأديبية عليه بسبب ذلك فهل تحتسب أيام الغياب التي عوقب عنها ضمن أيام الغياب التي يجوز للإدارة طي قيد الموظف وفقاً للمادة (226) من اللائحة التنفيذية للموارد البشرية في الخدمة ال
Structural + BM25,structural,bm25,110,موظف حصل بموافقة جهة عمله على منحه دراسية لدراسة الماجستير والدكتوراه من احدى شركات القطاع العام وبعد انتهاء الدراسة تقدم بطلب احالته على التقاعد المبكر لكون خدماته تزيد عن ستة وعشرين سنة ورفضت جهة عمله الطلب بحجة مطالبته بخدمة إلزامية، فما مدى نظامية رفض,True,1.0,True,True,True,1.0,2.27,702,,faq,39.9004248797592,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: ما مدى نظامية قيام الجهة الحكومية بإيقاف المستحقات التقاعدية للموظف لديها إذا كانت خدماته تزيد عن خمسة وعشرين سنة وقد صدر بحقه حكم نهائي من ديوان المظالم يقضي بإدانته بجريمة الاختلاس ومعاقبته عن ذلك مع رد المبلغ المخت
Structural + BM25,structural,bm25,111,مستخدم أمضى (28) سنة في الخدمة ومن ثم تم تثبيته على وظيفة مشمولة بسلم رواتب الموظفين العام، فهل يمكن إحالته على التقاعد المبكر قبل مضي سنة من تثبيته؟,True,1.0,True,True,True,1.0,1.46,622,,faq,36.333458980289414,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: كيف يتم تحديد راتب من كان يشغل وظيفة مشمولة بأحد سلالم رواتب الخدمة المدنية عند إعادته للخدمة بطريق التعيين على وظيفة مشمولة بسلم رواتب الموظفين العام؟ الإجابة: يثبت على المرتبة والدرجة المناسبة لتأهيله العلمي حسب الو
Structural + BM25,structural,bm25,112,ما مدى استحقاق الموظف المنقول بناء على رغبته لبدل الترحيل؟,True,1.0,True,True,True,1.0,0.54,640,,faq,34.64271856009827,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: المنقول بناءً على رغبته من خارج المملكة إلى داخلها ما مدى استحقاقه لبدل الترحيل؟ الإجابة: إذا كان نقل الموظف ابتداءً من داخل المملكة إلى خارجها قد تم للمصلحة العامة واستحق بدل الترحيل فإنه حينما ينقل من الخارج إلى داخل المملكة يستحق أيضاً هذا ال
Structural + BM25,structural,bm25,113,ما مدى أحقية الموظف للإجازة العادية في سنة التجربة؟,True,1.0,True,True,True,1.0,0.5,743,,faq,17.169668646168496,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: هل يستحق الموظف التعويض عن إجازته العادية إذا استقال قبل إكمال مدة التجربة؟ الإجابة: الموظف الذي يستقيل قبل إكماله مدة التجربة يستحق التعويض عن إجازته العادية بنسبة المدة التي قضاها في الوظيفة.
Structural + BM25,structural,bm25,114,من المسؤول الذي يمنح الإجازة الاضطرارية؟,True,1.0,True,True,True,1.0,0.34,429,,faq,10.014948082308933,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: هل يمكن إلزام الموظفين بالعمل خلال إجازة عيد الفطر؟ الإجابة: لعدم منح الموظف إجازة عيد الفطر (لمدة 4 أيام) غرامة قدرها 5000 ريال على كل موظف لم يمنح هذه الإجازة. في المنشاة. المادة 50 من جدول المخالفات
Structural + BM25,structural,bm25,115,إذا منح الموظف إجازة عادية ثم توفي إثناءها فيكف يعامل؟,True,1.0,True,True,True,1.0,0.54,730,,faq,14.292358972710119,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: هل تحتسب مدة الإجازة الاستثنائية لغرض إكمال مدة السنة المطلوب إمضاءها لغرض التمتع بالإجازة العادية؟ الإجابة: ما دام إن الإجازة الاستثنائية لا تحسب ضمن خدمة الموظف كما أنه لا تحتسب عنها إجازة عادية فمن باب أولى عدم احت
Structural + BM25,structural,bm25,116,في حالة منح الموظف إجازة عادية فكيف يعامل إذا تخللت هذه الإجازة عطلة أحد العيدين وهل يمكن تمديد فترة الإجازة العادية بقدر مدة إجازة العيد؟,True,1.0,True,True,True,1.0,1.29,748,,faq,48.75600796142649,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: موظف منح إجازة عادية بعد عطلة أحد العيدين مباشرة وبعد انتهاء الإجازة الممنوحة له تغيب عن العمل، فهل يعامل في هذه الحالة عن فترة الغياب بموجب قرار مجلس الوزراء الموقر رقم (747) لسنة 1391هـ القاضي بمضاعفة الحسم على من ي
Structural + BM25,structural,bm25,117,موظف أصيب بحادث أثناء التحاقه بدورة تدريبية ما مدى استحقاقه للإجازة المرضية ؟,True,1.0,True,True,True,1.0,0.68,671,,faq,14.015663439838653,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: موظف قدم للرياض للالتحاق بدورة تدريبية وبعد انتهاء الفترة التدريبية عاد إلى مقر عمله الأصلي وفي أثناء الطريق حصل عليه حادث توفي بسببه، هل يستحق ورثته التعويض المنصوص عليه بالمادة (35) من لائحة الحقوق والمزايا المالية؟
Structural + BM25,structural,bm25,118,هل تحتسب للموظف إجازة عادية عن الفترة التي يتغيب فيها لمرافقة المريض للعلاج؟,True,1.0,True,True,True,1.0,0.7,730,,faq,18.52795839725867,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: هل تحتسب مدة الإجازة الاستثنائية لغرض إكمال مدة السنة المطلوب إمضاءها لغرض التمتع بالإجازة العادية؟ الإجابة: ما دام إن الإجازة الاستثنائية لا تحسب ضمن خدمة الموظف كما أنه لا تحتسب عنها إجازة عادية فمن باب أولى عدم احت
Structural + BM25,structural,bm25,119,موظفة منحت إجازة استثنائية لمرافقة زوجها بالخارج وقد وضعت خلالها مولوداً. ما مدى إمكانية قطع إجازة المرافقة للزوج ومنحها إجازة وضع؟,True,1.0,True,True,True,1.0,1.04,747,,faq,34.744490044530465,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: موظفة صدر قرار بتعيينها ومن ثم وضعت مولوداً. ما مدى إمكانية مباشرتها للعمل ومنحها إجازة وضع وفقاً للمادة (151) من اللائحة التنفيذية للموارد البشرية في الخدمة المدنية؟ الإجابة: عدم استفادتها من هذه الإجازة لكون واقعة ا
Structural + BM25,structural,bm25,120,هل يجوز منح الموظف أثناء فترة التجربة إجازة استثنائية؟,True,1.0,True,True,True,1.0,0.5,736,,faq,25.312023191719806,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: هل يجوز منح الموظف أثناء فترة التجربة إجازة مرافقة المريض؟ الإجابة: حيث أن المادة (147) من اللائحة التنفيذية للموارد البشرية في الخدمة المدنية الإجازات أعطت الموظف ممن تنطبق عليه الشروط، الحق في التغيب عن عمله براتب ك
Structural + BM25,structural,bm25,121,إذا نقل عضو هيئة التدريس في الجامعات أو الشاغل لوظيفة تعليمية إلى وظيفة إدارية في آخر العام الدراسي وقبل التمتع بالإجازة الصيفية هل يعوض عن إجازاته أم يحتفظ بها في جهة عمله الجديد وما هو المقدار الذي يعوض عنه أو يحتفظ به؟,True,1.0,True,True,True,1.0,2.12,438,,faq,32.855740506158206,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: وقت إجازتي السنوية صادف يوم إجازة رسمية من الدولة (سواء يوم التأسيس أو اليوم الوطني) الإجابة: التعويض في هذه الحالة محدد، فإذا وافق يوم السبت يعوض عنه بيوم الأحد الذي بعده وإذا وافق يوم جمعة يعوض بيوم الخميس الذي قبله فيما عدا 
Structural + BM25,structural,bm25,122,موظف منح إجازة عادية تنتهي مع ابتداء عطلة أحد العيدين ثم تقدم بطلب إجازة لمدة شهر تبدأ من انتهاء العطلة. هل يعتبر ذلك تمديداً ومن ثم تحتسب عليه العطلة؟,True,1.0,True,True,True,1.0,1.47,748,,faq,36.110915358678504,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: موظف منح إجازة عادية بعد عطلة أحد العيدين مباشرة وبعد انتهاء الإجازة الممنوحة له تغيب عن العمل، فهل يعامل في هذه الحالة عن فترة الغياب بموجب قرار مجلس الوزراء الموقر رقم (747) لسنة 1391هـ القاضي بمضاعفة الحسم على من ي
Structural + BM25,structural,bm25,123,ما مدى نظامية منح الموظف بعد تعيينه وفقاً لنظام الخدمة المدنية إجازة عادية من رصيده من الإجازات عندما كان مستخدماً؟,True,1.0,True,True,True,1.0,1.24,750,,faq,35.33448933315069,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: عامل على بند الأجور أو مستخدماً استنفذ رصيده من الإجازات الاضطرارية ومن ثم تعين وفقاً لنظام الخدمة المدنية. ما مدى إمكانية منحه إجازة اضطرارية بعد شموله بهذا النظام؟ الإجابة: حيث أن العامل والمستخدم وفقاً للمادتين (11
Structural + BM25,structural,bm25,124,ما مدى شمول الموظف الموفد للعمل خارج المملكة بالإجازات المقررة باللائحة التنفيذية للموارد البشرية في الخدمة المدنية؟,True,1.0,True,True,True,1.0,0.91,677,,faq,29.021570188041053,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: ما مدى استحقاق الموظف المتدرب الذي انقطع أثناء فترة التدريب للمكافأة المقررة بموجب اللائحة التنفيذية للموارد البشرية في الخدمة المدنية؟ الإجابة: إن الموظف إذا التحق بالدورة وانقطع عنها فإنه يستحق المكافأة المقررة بموج
Structural + BM25,structural,bm25,125,موظف يتمتع بإجازة استثنائية تنتهي مع نهاية أخر يوم عمل قبل اجازة العيد ويطلب اجاز استثنائية اخرى مع بداية أول يوم عمل بعد اجازة العيد؟,True,1.0,True,True,True,1.0,1.3,613,,faq,62.37587549051991,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: ما مدى أحقية الموظف لراتب عطلة أحد العيدين لكونه منح إجازة استثنائية تنتهي مع بداية عطلة العيد وتقدم باستقالته في أول يوم عمل بعد عطلة العيد؟ الإجابة: استحقاقه لراتب هذه الاجازة باعتباره لا يزال في الخدمة ويتمتع بكافة
Structural + BM25,structural,bm25,126,هل تسري على شاغلي الوظائف المؤقتة القواعد الواردة في نظام الخدمة المدنية ولوائحه التنفيذية التي تحظر على الموظفين الاشتغال بالتجارة؟,True,1.0,True,True,True,1.0,1.05,597,,faq,26.50845248008664,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: ما مدى امكانية ابتعاث أوايفاد العامل المعين على بند الأجور للدراسة ؟ الإجابة: أحكام الابتعاث والايفاد الواردة باللائحة التنفيذية للموارد البشرية في الخدمة المدنية تسري على موظفي الدولة المشمولين بنظام الخدمة المدنية و
Structural + BM25,structural,bm25,127,ماهي شروط تقديم الطلب؟,True,1.0,True,True,True,1.0,0.25,764,,faq,11.334936087650817,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | امرأة | شباب | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: ماهي شروط تقديم الطلب؟ الإجابة: ان يكون مقدم الطلب مسجل في نظام الوزارة كحاضن او حاضنة. ان تكون حالة احتضان اليتيم المستفيد قائمة وقت التقديم على الطلب. ان يكون المستفيد (اليتيم) سعودي الجنسية (يحمل هوية وط
Structural + BM25,structural,bm25,128,هل يمكن التقديم على الخدمة لأكثر من مرة لغرض كفالة أكثر من يتيم واحد ؟,True,1.0,True,True,True,1.0,0.88,502,,faq,25.407962079960182,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: هل تبحث عن خدمات للأيتام أو الحماية الأسرية ؟ الإجابة: 1. خدمة التقديم على برنامج كفالة الايتام تمكن الاسرة الراغبة باحتضان يتيم بتقديم طلب الكتروني على ان تقوم الأسرة برعاية اليتيم وإيوائه ومعاملته معاملة أبنائها في الإنفاق والإحسان والتربية وش
Structural + BM25,structural,bm25,129,هل يمكن قبول طلب اعانة الزواج لعقد نكاح مُصدر من خارج المملكة العربية السعودية؟,True,1.0,True,True,True,1.0,1.2,782,,faq,21.00390833575218,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | امرأة | شباب | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: كيف يمكن تقديم طلب خدمة اعانة زواج الايتام؟ الإجابة: تسجيل الدخول إلى بوابة الخدمات الالكترونية. يختار المستخدم خدمة إعانة الزواج للأيتام من قائمة الخدمات الالكترونية. تعبئة البيانات المطلوبة (والموافقة على
Structural + BM25,structural,bm25,130,من هم الفئة المستهدفة من خدمة اعانة زواج الايتام؟,True,1.0,True,True,True,1.0,1.43,783,,faq,28.437870712806127,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | امرأة | شباب | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: ما هي خدمة اعانة زواج الايتام؟ الإجابة: خدمة الكترونية تمكن الأيتام من ذوي الظروف الخاصة ومن في حكمهم بصرف إعانة مالية كدعم تصرف لمرة واحدة فقط بحسب الشروط والضوابط
Structural + BM25,structural,bm25,131,كم مدة فترة التجربة في نظام العمل السعودي؟,False,,False,False,False,0.0,0.49,445,,faq,16.067621783381156,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ماهي اشتراطات فترة التجربة؟ الإجابة: إذا كان العامل خاضعاً لفترة تجربة، وجب النص على ذلك صراحة في عقد العمل، وتحديدها بوضوح، بحيث لا تزيد على تسعين يوماً. ويجوز باتفاق مكتوب بين العامل وصاحب العمل تمديد فترة التجربة، على ألا تز
Structural + BM25,structural,bm25,132,متى يستحق العامل مكافأة نهاية الخدمة؟,False,,False,False,False,0.0,0.35,54,الرابعة والخمسون,legal_article,12.83043337314913,المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الأول المادة الرابعة والخمسون: النص: لا يجوز وضع العامل تحت التجربة أكثر من مرة واحدة لدى صاحب عمل واحد . واستثناء من ذلك يجوز باتفاق طرفي العقد - كتابة - إخضاع العامل لفترة تجربة أخرى بشرط أن تكون في مهنة أخرى أو عمل آخر ، أو أن يكون قد مضى على انتهاء علاقة العامل بصاحب العمل مدة لا تقل 
Structural + BM25,structural,bm25,133,كم عدد ساعات العمل في نظام العمل السعودي؟,False,,False,False,False,0.0,0.54,433,,faq,19.030687448502256,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: كم عدد ساعات العمل ؟ الإجابة: لا يجوز تشغيل العامل تشغيلًا فعليًّا أكثر من 8 ساعات في اليوم الواحد، إذا اعتمد صاحب العمل المعيار اليومي، أو أكثر من 48 ساعة في الأسبوع، إذا اعتمد المعيار الأسبوعي. وتخفض ساعات العمل الفعلية خلال 
Structural + BM25,structural,bm25,134,ما حكم الطلاق؟,False,,False,False,False,0.0,0.31,136,الرابعة والثلاثون بعد المائة,legal_article,5.497609713319891,المصدر: نظام العمل السعودي الباب الثامن - الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخدمات الصحية والاجتماعية الفصل الثالث المادة الرابعة والثلاثون بعد المائة: النص: تعد الإصابة إصابة عمل وفق ماهو منصوص عليه في نظام التأمينات الاجتماعية . وتعد الأمراض المهنية في حكم إصابات العمل ، كما يعد تاريخ أول مشاهدة طبية للمرض
Structural + BM25,structural,bm25,135,كم سعر العقار في الرياض؟,False,,False,False,False,0.0,0.3,295,,faq,8.032308400681515,المصدر: HRSD FAQ التصنيف: العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: كم يبلغ عدد فروع وزارة الموارد البشرية والتنمية الاجتماعية في المملكة؟ الإجابة: يمكنكم معرفة عدد فروع وزارة الموارد البشرية والتنمية الاجتماعية في المملكة عن طريق دليل الفروع اضغط هنا.
Structural + Hybrid,structural,hybrid,0,هل يمكن إلغاء الفاتورة؟,True,1.0,True,True,True,1.0,15.44,253,,faq,0.9123685257099232,"المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | المواطنين | كبار السن | مقيمين | قطاع التنمية الاجتماعية | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: هل أستطيع إلغاء الموعد؟ الإجابة: نعم, يكن للمستفيد إلغاء الموعد"
Structural + Hybrid,structural,hybrid,1,ما هي المهن الاجتماعية المستهدفة بالخدمة؟,True,1.0,True,True,True,1.0,9.28,765,,faq,0.870121430265104,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | امرأة | شباب | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: من هم الفئة المستهدفة من الخدمة؟ الإجابة: الأسر الحاضنة للايتام المسجلين في نظام الوزارة
Structural + Hybrid,structural,hybrid,2,ماهو بند العقد الخاضع للتنفيذ لعقد العمل الموثق سندًا تنفيذيًا؟,True,1.0,True,True,True,1.0,10.42,250,,faq,0.9977768270305254,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ماهي متطلبات الاستفادة من مبادرة عقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: وجود عقد عمل موثق بمنصة (قوى) وفق نموذج عقد العمل التنفيذي وجود عقد عمل موثق بمنصة (قوى) وفق نموذج عقد العمل التنفيذي أن يكون لعقد العمل رقم تنفيذ 
Structural + Hybrid,structural,hybrid,3,كم عدد المواعيد التي يمكنني حجزها؟,True,1.0,True,True,True,1.0,13.33,378,,faq,1.0,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: كم عدد العقود التي يمكن للفرد توقيعها؟ الإجابة: لا يوجد عدد محدد للعقود بشرط الا يكون هناك تعارض فيما بينها
Structural + Hybrid,structural,hybrid,4,ما هي قنوات الخدمة لبطاقة امتياز لكبار السن؟,True,1.0,True,True,True,1.0,14.74,254,,faq,1.0,المصدر: HRSD FAQ التصنيف: العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: شروط الحصول على بطاقة امتياز لكبار السن؟ الإجابة: أن يكون سعودي الجنسية. أن يكون سعودي الجنسية. أن يكون بلغ الستين عامًا فأكثر. أن يكون بلغ الستين عامًا فأكثر.
